name,address,city,searchedCity,region,country,lat,lng,rating,reviews,businessStatus,types,placeId,matchedQuery,looksWholesale
Балашихинская Овощная База (1 гимназия),"ул. Текстильщиков, 2, Балашиха, Московская обл., 143900",Балашиха,Москва,Москва,Russia,55.8121546,37.96212999999999,4.4,198,OPERATIONAL,establishment|food|point_of_interest,ChIJN1tQiVrMSkERt3Pah6WCSmM,плодоовощная база оптовая,yes
Плодоовощная База Зоя,"ул. Фабричная ветка, 1, Дедовск, Московская обл., 143532",Дедовск,Москва,Москва,Russia,55.86672,37.1219042,4.4,33,OPERATIONAL,establishment|food|point_of_interest,ChIJ2RdI-PdBtUYRKeMbXzMkbu0,плодоовощная база оптовая,yes
Инфреш,"микрорайон Шереметьевский, Южная ул., д. 1, стр. 33, Долгопрудный, Московская обл., 141720",Долгопрудный,Москва,Москва,Russia,55.9760467,37.4942673,4.5,15,OPERATIONAL,establishment|food|point_of_interest,ChIJV972DVg2tUYRoalPHdk8ENw,плодоовощная база оптовая,check
Овощной склад Хлебниково,"Новое ш., 31, Долгопрудный, Московская обл., 141703",Долгопрудный,Москва,Москва,Russia,55.9750862,37.4906997,4,11,OPERATIONAL,establishment|point_of_interest,ChIJP76-fow7tUYR1Pn2isLS-J8,плодоовощная база оптовая,check
ФРУИТ СТРИТ,"Южная ул., 1, строение 18, Долгопрудный, Московская обл., 141720",Долгопрудный,Москва,Москва,Russia,55.9748077,37.4882888,4,309,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJnwbCYIk7tUYRwlmSwZTBFHs,плодоовощная база оптовая,check
Краснообский рынок,"ул. пос. раснообск, 61, Краснообск, Новосибирская обл., 630501",Краснообск,Новосибирск,Новосибирская область,Russia,54.9216051,82.9840359,4.2,388,OPERATIONAL,establishment|point_of_interest,ChIJZf7oVUnd30IRuAQJxXDO23Y,оптовый продовольственный рынок,yes
FoodDesk - поставщик овощей и фруктов,"Калужское ш., 10, Мамыри, Москва, 129090, Калужское ш., Москва, 142770",Москва,Москва,Москва,Russia,55.60076549999999,37.4709172,5,6,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|storage|store,ChIJV_r6ZIutSkERWLxhtMsMlKU,плодоовощная база оптовая,check
FoodHouse.pro (АльфаТрейд),"Открытое ш., 13 стр. 1, Москва, 107143",Москва,Москва,Москва,Russia,55.817074,37.741223,4.2,5,OPERATIONAL,establishment|food|point_of_interest|store,ChIJ_aCBxvc0tUYRx0DxzfZUBVs,оптовая база продуктов питания,check
Ангар Сити,"Торговая ул., с1, Москва, Московская обл., 143085",Москва,Москва,Москва,Russia,55.6812291,37.4154547,3.9,21,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJ287HPm1PtUYRXknucnjSCY0,оптовый продовольственный рынок,check
Белорусский базар,"МКАД 8 км, 3к1, Москва, 109145",Москва,Москва,Москва,Russia,55.704577,37.834453,4.3,96,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJrW4lFfC1SkERXyq4wikPAvk,оптовая база продуктов питания,yes
Братиславский рынок,"Мячковский бул., 3а, Москва, 109451",Москва,Москва,Москва,Russia,55.65793499999999,37.751474,4.3,1769,OPERATIONAL,establishment|point_of_interest|shopping_mall,ChIJRx3hpxG0SkERdJ5bsOj6-G8,оптовый продовольственный рынок,yes
Велозаводский рынок,"Велозаводская ул., 13, с. 1, Москва, 115280",Москва,Москва,Москва,Russia,55.7104455,37.6683282,4.2,3572,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|restaurant|store,ChIJ8xMlXM20SkERHfbk0QI7U9M,оптовый продовольственный рынок,yes
"Государственное унитарное предприятие ""Рижский рынок""","пр-т Мира, 88, Москва, 129110",Москва,Москва,Москва,Russia,55.7932901,37.63730410000001,4.2,3425,OPERATIONAL,establishment|florist|point_of_interest|store,ChIJFy-HC_Q1tUYRa-nRZkaYfhA,оптовый продовольственный рынок,yes
Даниловский рынок,"Мытная ул., 74, Москва, 115191",Москва,Москва,Москва,Russia,55.7121856,37.6205068,4.5,15624,OPERATIONAL,establishment|food|point_of_interest,ChIJVSw1SUBLtUYRuguJQx04lbQ,оптовый продовольственный рынок,yes
Домодедовский рынок,"Ореховый б-р, 14, к.3, Москва, 115582",Москва,Москва,Москва,Russia,55.6101669,37.7211311,4.3,9098,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJOSUWgXuxSkER1gertpWGIRY,оптовый продовольственный рынок,yes
Дорогомиловский рынок,"ул. Можайский Вал, 10, Москва, 121151",Москва,Москва,Москва,Russia,55.7427254,37.55383,4.3,6054,OPERATIONAL,establishment|point_of_interest,ChIJQX5zEsFLtUYRHVkzqBOvzP0,оптовый продовольственный рынок,yes
Коптевский Рынок,"Коптевская ул., 24с9, Москва, 125239",Москва,Москва,Москва,Russia,55.8333495,37.5219155,4,2522,OPERATIONAL,establishment|point_of_interest,ChIJb4iDRdk3tUYRgKrOf2NPL8Y,сельскохозяйственный рынок,yes
Кунцевский универсальный рынок,"ул. Маршала Неделина, 19, Москва, 121471",Москва,Москва,Москва,Russia,55.7260578,37.4071894,4.1,3465,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJX4W85O9OtUYRKZhjLegmNuk,сельскохозяйственный рынок,yes
Кунцевское,"Рябиновая ул., 55, Москва, 121471",Москва,Москва,Москва,Russia,55.6911249,37.4278283,4.3,8,OPERATIONAL,establishment|food|point_of_interest,ChIJZYN0HNhNtUYRfPNPdaDGScA,плодоовощная база оптовая,check
Курьяновская Плодоовощная База,"4386-й Проектируемый пр-д, 10 строение 1, Москва, 109235",Москва,Москва,Москва,Russia,55.6491389,37.6896576,4.2,18,OPERATIONAL,establishment|point_of_interest|storage,ChIJizBYwISzSkER2-7B5voomVE,плодоовощная база оптовая,yes
Ленинградский сельскохозяйственный рынок,"ул. Часовая, 11/3, стр. 1, Москва, 125315",Москва,Москва,Москва,Russia,55.8080708,37.5290585,4.1,2342,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJ625LoM5JtUYRoo7xxoQorTM,оптовый продовольственный рынок,yes
Мосбаза - продукты питания оптом,"Мелитопольская ул., 1, корп. 2, стр. 2, Москва, 117403",Москва,Москва,Москва,Russia,55.584539,37.6356305,3.4,15,OPERATIONAL,establishment|food|point_of_interest,ChIJS_drK5-zSkERmhlZlRm5GIs,оптовая база продуктов питания,yes
Москворецкая оптовая-продуктовая база,"1-й Котляковский пер., 1, Москва, 115201",Москва,Москва,Москва,Russia,55.6514885,37.6357127,3.8,127,OPERATIONAL,establishment|point_of_interest|shopping_mall,ChIJvQZi5xOzSkERGvshu-nu_rI,плодоовощная база оптовая,yes
Москворецкий рынок,"Болотниковская ул., 12, Москва, 117556",Москва,Москва,Москва,Russia,55.6566159,37.6072849,4.2,14569,OPERATIONAL,establishment|food|point_of_interest|restaurant,ChIJ7a6m4zqzSkERM2aH220AvB8,оптовый продовольственный рынок,yes
Новоясеневский рынок,"Новоясеневский пр., 1, Москва, 117574",Москва,Москва,Москва,Russia,55.6206802,37.5086372,4.1,2449,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJ9RvWs6xStUYRLgxsbIAZ6p0,сельскохозяйственный рынок,yes
Овощебаза,"Москва, 142771",Москва,Москва,Москва,Russia,55.5960978,37.462881,4,628,OPERATIONAL,establishment|food|point_of_interest,ChIJX4Co6wJTtUYR-jFSTnXIvJE,оптовый продовольственный рынок,yes
Овощная База Зоя,"1-й Дорожный пр-д, 3, Москва, 117545",Москва,Москва,Москва,Russia,55.6153019,37.6179444,4.5,2,OPERATIONAL,establishment|food|point_of_interest,ChIJ1aEy_l6ySkERuQJ2XF4PKs0,плодоовощная база оптовая,yes
