name,address,city,searchedCity,region,country,lat,lng,rating,reviews,businessStatus,types,placeId,matchedQuery,looksWholesale
100 ЛЕТ,"ул. Щетинкина, 24, Абакан, Респ. Хакасия, 655009",Абакан,Абакан,Республика Хакасия,Russia,53.7242003,91.4434338,,,OPERATIONAL,establishment|food|point_of_interest,ChIJjSSrOmw9LF0RUXFn0yl6Bp0,оптовая база продуктов питания,check
Абаканский рынок,"ул. Тараса Шевченко, 63, Абакан, Респ. Хакасия, 655000",Абакан,Абакан,Республика Хакасия,Russia,53.71982,91.4565702,4,546,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJ4ep1naUiLF0RZqkbJ9M-U9U,оптовый продовольственный рынок,yes
Алтайский бройлер,"Итыгина ул., 22Б, Абакан, Респ. Хакасия, 655000",Абакан,Абакан,Республика Хакасия,Russia,53.7217288,91.4024491,,,OPERATIONAL,establishment|point_of_interest,ChIJy6lJMHs9LF0Rn90ojvx4eYU,оптовая база продуктов питания,check
Альянс - Сибирская Коммерческая Компания,"Итыгина ул., 20Б, Абакан, Респ. Хакасия, 655004",Абакан,Абакан,Республика Хакасия,Russia,53.7211418,91.4051286,5,11,OPERATIONAL,establishment|food|point_of_interest,ChIJa2Tx5bEiLF0RVTx5yRCIj5s,оптовая база продуктов питания,check
Веста,"Советская ул., 156, Абакан, Респ. Хакасия, 655000",Абакан,Абакан,Республика Хакасия,Russia,53.71708899999999,91.402147,4.2,433,OPERATIONAL,establishment|point_of_interest,ChIJI3zhBXc9LF0Rl40NrIqIyto,оптовый продовольственный рынок,check
Гагарина 2,"ул. Гагарина, 2, Абакан, Респ. Хакасия, 655000",Абакан,Абакан,Республика Хакасия,Russia,53.7112657,91.44109739999999,3,2,OPERATIONAL,establishment|point_of_interest,ChIJkzQKRUs9LF0ROQfzlwGLvCE,оптовый продовольственный рынок,check
Гобис,"ул. Кирова, 260, Абакан, Респ. Хакасия, 655004",Абакан,Абакан,Республика Хакасия,Russia,53.7229167,91.3970738,2,1,OPERATIONAL,establishment|food|point_of_interest|store,ChIJJUudxqw9LF0RKT8R8ONFaKU,оптовая база продуктов питания,check
Дискаунтер Хороший,"ул. Дружбы Народов, 57А, Абакан, Респ. Хакасия, 655010",Абакан,Абакан,Республика Хакасия,Russia,53.7469248,91.4145558,,,OPERATIONAL,establishment|point_of_interest,ChIJLzWYAOoXLF0RaBZ9JoggN2M,оптовая база продуктов питания,check
МАВР,"ул. Пушкина, 225-а, Абакан, Респ. Хакасия, 655004",Абакан,Абакан,Республика Хакасия,Russia,53.7121667,91.4037627,2,4,OPERATIONAL,establishment|food|point_of_interest,ChIJk8qUUE09LF0RwxVRzj4c0y4,оптовая база продуктов питания,check
Мясной дворик,"ул. Чертыгашева, 114, Абакан, Респ. Хакасия, 655000",Абакан,Абакан,Республика Хакасия,Russia,53.7249391,91.4396314,4.7,31,OPERATIONAL,establishment|food|point_of_interest|store,ChIJ3a3V_lQ9LF0RXIZUq-61-bo,оптовая база продуктов питания,check
"ООО ""Рынок Северный""","ул. Торговая, 5А, Абакан, Респ. Хакасия, 655010",Абакан,Абакан,Республика Хакасия,Russia,53.7425048,91.4345689,4.1,490,OPERATIONAL,establishment|point_of_interest|shopping_mall|store,ChIJyVfVGvEXLF0R3Z7KkI5gXh4,оптовый продовольственный рынок,yes
Оптовая База,"ул. Гагарина, 26, Абакан, Респ. Хакасия, 655000",Абакан,Абакан,Республика Хакасия,Russia,53.710926,91.43542479999999,4.1,59,OPERATIONAL,establishment|point_of_interest|store,ChIJVTJb5ks9LF0RKHsjaaNeoFo,оптовый продовольственный рынок,yes
Оптовая База,"Хлебная ул., 18а, Абакан, Респ. Хакасия, 655002",Абакан,Абакан,Республика Хакасия,Russia,53.7112162,91.44066289999999,3.2,5,OPERATIONAL,establishment|point_of_interest,ChIJW3kDRUs9LF0RHjA1fYkFTOo,оптовый продовольственный рынок,yes
Оптовая База Цветов,"Складская ул., 9К, Абакан, Респ. Хакасия, 655009",Абакан,Абакан,Республика Хакасия,Russia,53.7105253,91.3799783,3,4,OPERATIONAL,establishment|point_of_interest,ChIJP1Yl9D09LF0RxhSngZojeis,плодоовощная база оптовая,yes
Оптово розничный склад №13,"Итыгина ул., 20, Абакан, Респ. Хакасия, 655000",Абакан,Абакан,Республика Хакасия,Russia,53.720595,91.4037319,4.2,11,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|storage|store,ChIJLVn31WQ9LF0RujEamM8fGmk,оптовый продовольственный рынок,yes
Оптово-розничная база рыбы и куриной продукции,"ул. Кирова, 259, Абакан, Респ. Хакасия, 655004",Абакан,Абакан,Республика Хакасия,Russia,53.72052249999999,91.3902763,,,OPERATIONAL,establishment|food|point_of_interest|store,ChIJkbVmzUc9LF0RloXX_TfDKLM,оптовый продовольственный рынок,yes
"Оптово-розничный склад ""Гагаринский""","ул. Гагарина, 2, Абакан, Респ. Хакасия, 655002",Абакан,Абакан,Республика Хакасия,Russia,53.7112657,91.44109739999999,5,1,OPERATIONAL,establishment|point_of_interest,ChIJ1ZCa-Z89LF0RDDgiFUy-1eg,оптовый продовольственный рынок,yes
От мельника,"Хлебная ул., 30, Абакан, Респ. Хакасия, 655000",Абакан,Абакан,Республика Хакасия,Russia,53.7121607,91.4293496,5,1,OPERATIONAL,establishment|food|point_of_interest|store,ChIJPdq1VE89LF0ROVa8QoXdSVM,оптовый продовольственный рынок,check
Республиканский рынок,"ул. Тельмана, 92К, стр.1, Абакан, Респ. Хакасия, 655017",Абакан,Абакан,Республика Хакасия,Russia,53.7319142,91.434778,4.3,1389,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJzz4zRvwXLF0R4qn0r_nql6s,оптовый продовольственный рынок,yes
Рыбный мир,"Хлебная ул., 30Щ, Абакан, Респ. Хакасия, 655000",Абакан,Абакан,Республика Хакасия,Russia,53.7117051,91.434317,4,1,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJK0GtTkk9LF0RwLryPezKuxY,оптовый продовольственный рынок,check
Сельскохозяйственный Рынок им.Максима Нелюбина,"ул. Тельмана, 92К, Абакан, Респ. Хакасия, 655001",Абакан,Абакан,Республика Хакасия,Russia,53.7307297,91.4343066,4.4,16,OPERATIONAL,establishment|point_of_interest,ChIJr7jyRvwXLF0RtW-7HzPwQLk,оптовый продовольственный рынок,yes
ТАЙМЕРС,"Кирпичная ул., 61, Абакан, Респ. Хакасия, 655670",Абакан,Абакан,Республика Хакасия,Russia,53.6720565,91.5238749,4.3,20,OPERATIONAL,establishment|food|point_of_interest,ChIJK_EKY8gjLF0R-8RC7cHJ9s0,оптовая база продуктов питания,check
"Торговый дом ""Авангард""","Абакан, промплощадка территории Абаканвагонмаш, литера, Абакан, Респ. Хакасия, 655017",Абакан,Абакан,Республика Хакасия,Russia,53.7175767,91.4294424,4,1,OPERATIONAL,establishment|food|point_of_interest,ChIJq6qqqlo9LF0RNbgqLgFZTZk,оптовая база продуктов питания,check
"Фермер, Торговый Дом","ул. Пушкина, 207а, Абакан, Респ. Хакасия, 655004",Абакан,Абакан,Республика Хакасия,Russia,53.71326329999999,91.4114505,4.3,152,OPERATIONAL,establishment|point_of_interest|store,ChIJk8qUUE09LF0RxzUxNgaS8Ak,оптовый продовольственный рынок,check
Фирменный магазин,"655009, ул. Аскизская, 203-207, Абакан, Респ. Хакасия, 655009",Абакан,Абакан,Республика Хакасия,Russia,53.69352869999999,91.4031447,4.3,8,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJl7K72Bo9LF0R8WXCoFEqEh8,оптовый продовольственный рынок,check
Фрукты Овощи Продукты,"Хлебная ул., 30Щ, склад 12, Абакан, Респ. Хакасия, 655000",Абакан,Абакан,Республика Хакасия,Russia,53.71164880000001,91.4341297,5,2,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJ0RkPSUk9LF0RqU2NqS7PxK0,оптовый продовольственный рынок,check
Центральный Рынок,"ул. Тараса Шевченко, 63, Абакан, Респ. Хакасия, 655017",Абакан,Абакан,Республика Хакасия,Russia,53.7198617,91.4568472,4.1,399,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store|supermarket,ChIJn_zpdaUiLF0RSHTQSzCjtMQ,оптовый продовольственный рынок,yes
база,"Адлер, Краснодарский край, 354340",Адлер,Сочи,Краснодарский край,Russia,43.4467309,39.9170418,5,1,OPERATIONAL,establishment|point_of_interest,ChIJBYBOtYS_9UARQ8SMGSf74cQ,плодоовощная база оптовая,yes
Казачий Рынок,"ул. Урожайная, 33, Адлер, Краснодарский край, 354375",Адлер,Сочи,Краснодарский край,Russia,43.4065336,39.9901729,4.1,227,OPERATIONAL,establishment|point_of_interest,ChIJcTjkwSGV9UAR1gvn0O1gJPI,сельскохозяйственный рынок,yes
Ритм,"ул. Гастелло, 23а, Адлер, Краснодарский край, 354340",Адлер,Сочи,Краснодарский край,Russia,43.445105,39.9131424,5,5,OPERATIONAL,establishment|food|point_of_interest,ChIJfWoVfZu_9UARNR58LtHE560,оптовая база продуктов питания,check
"Универсальный рынок ""Понтос""","ул. Голубые Дали, 8 корпус 1, Адлер, Краснодарский край, 354340",Адлер,Сочи,Краснодарский край,Russia,43.4524986,39.9055537,4.2,1184,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJI3fV7nm_9UARq8cJeSt3jr8,сельскохозяйственный рынок,yes
Центральный Рынок,"ул. Демократическая, 38, к. 1, Адлер, Краснодарский край, 354340",Адлер,Сочи,Краснодарский край,Russia,43.42434739999999,39.92595050000001,4.3,8690,OPERATIONAL,establishment|point_of_interest,ChIJtfwgKMW_9UARyhDJeDRLWTQ,сельскохозяйственный рынок,yes
Овощная База (Рынок Алексеевский),"Дубровина ул, 5А, Алексеевка, Воронежская обл., 394008",Алексеевка,Воронеж,Воронежская область,Russia,51.61243770000001,39.2583019,4.2,1581,OPERATIONAL,establishment|food|point_of_interest,ChIJI-yMAvIxO0ER2Mgwrkr2mTU,оптовый продовольственный рынок,yes
Бриз,"ул. Рультытегина, 13, Анадырь, Чукотский автономный округ, 689000",Анадырь,Анадырь,Чукотский АО,Russia,64.73455849999999,177.5138676,4.4,171,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJERePcQef_FkRskOqFR-YKzw,оптовый продовольственный рынок,check
Гриль,"ул. Ленина, 48, Анадырь, Чукотский автономный округ, 689000",Анадырь,Анадырь,Чукотский АО,Russia,64.7373995,177.5101768,4.2,25,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJ2zIdG6qf_FkRutdyitCZLhc,сельскохозяйственный рынок,check
Диана,"ул. Энергетиков, 18, Анадырь, Чукотский автономный округ, 689000",Анадырь,Анадырь,Чукотский АО,Russia,64.7343156,177.4957821,3.6,142,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJAyhiUK6f_FkRHmfE7QYKYps,оптовый продовольственный рынок,check
Ермак,"ул. Тевлянто, 7, Анадырь, Чукотский автономный округ, 689000",Анадырь,Анадырь,Чукотский АО,Russia,64.7350159,177.5067465,4.8,4,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJt4wTCqmf_FkRbTw7D-x18UM,сельскохозяйственный рынок,check
Живая-Зелень,"ул. Отке, 55, Анадырь, Чукотский автономный округ, 689000",Анадырь,Анадырь,Чукотский АО,Russia,64.7373322,177.4982087,3.8,4,OPERATIONAL,establishment|food|grocery_or_supermarket|point_of_interest|store,ChIJ5-FaK6yf_FkRmU5k2Xo7u1o,сельскохозяйственный рынок,check
